Date Added,OCLC No.,Title,Author,Imprint,Date,Aresenical Material,ID Method,Owner,# books
2020-02-06,,The Patent Hat,"Ballou, Ellis, d. 1903.","New-York: : Published for the author by Carlton and Phillips, 200 Mulberry-St.",1855,bookcloth,XRF,The Library Company,1
2022-11-16,191314829,The Pet Annual: a gift for all seasons,,Leavitt & Allen; NY,1856-1860,decorative green onlay,XRF,American Antiquarian Society,1
2022-11-16,1053951752,The Pilgrim’s Progree,"Bunyan, John",Presb. Board of Publ. Phila,1844,bookcloth,XRF,American Antiquarian Society,1
2021-12-15,,The Pilgrim’s Progress From This World to That Which Is To Come,"Bunyan, John; collated by Thomas Scott, D.D.",Philadelphia: John B. Perry,1855,bookcloth,XRF,Athenaeum of Philadelphia,1
2020-02-06,,The Poems of Oliver Goldsmith,,London and New York: George Routledge & Co.,1859,bookcloth,XRF,The Library Company,1
2024-03-22,,The Poets of the Nineteenth Century,"Willmott, Reverend Robert Aris","London, New York: George Routledge & Co. ",1857,bookcloth,XRF,PBP Study Collection,1
2021-12-15,,The Positivist Calendar,"Edger, Henry","Published by the Author, Modern Time (Thompson) L.I.",1856,bookcloth,XRF,Athenaeum of Philadelphia,1
2023-12-04,317632256,The Pretty Picture ABC,,London: T. Nelson and Sons,[1867],paper cover,XRF,University of Florida,1
2023-12-04,13308573,The Private Purse and Tattle,Mrs. S. C. Hall,London: W&R Chambers,1858,bookcloth,XRF,University of Florida,1
2020-02-06,,The Rosebud,,New York: Leavitt & Allen,1856,decorative green onlay,XRF,The Library Company,2
2020-02-06,,The Rural Annual and Year-Book of Country Life,,New York: Leavitt & Allen,1856,decorative green onlay,XRF,The Library Company,1
2022-11-16,21741777,The Rural Wreath; or Life Among…,,Boston: Wentworth & Co.,1856,bookcloth,XRF,American Antiquarian Society,1
2022-11-16,3558486,The Rural Wreath; or Life Among…,,Boston: Wentworth & Co.,1857,bookcloth,XRF,American Antiquarian Society,1
2022-11-16,5338241,"The Snow Flake; A Christmas, New Year",,Leavitt & Allen; NY,1856-60,green onlay,XRF,American Antiquarian Society,1
2020-02-06,,"The Snowflake: a Christmas, New Year, and birthday gift, for MDCCCLIV",na,Philadelphia: E. H. Butler & Co.,1854,bookcloth,XRF,The Library Company,1
2024-05-04,,"The stranger’s guide and pleasure visitor’s companion to Southampton and the surrounding country, 10th edition","Brannon, Philip",Southampton: Sharland,186-,Paper covering,XRF,"Hartley Library, University of Southampton",1
2023-12-04,18883356,The swan’s egg,Mrs. S.C. Hall,Edinburgh: William and Robert Chambers,1851,paper cover,XRF,University of Florida,1
2022-11-16,191276588,The Temperance Gift,,Leavitt & Allen; NY,1854,decorative green onlay,XRF,American Antiquarian Society,1
2022-11-16,963910,"The Three Brides, Love in a Cottage ..","Durivage, Francis H.","Sanborn, Carter, Bazin & Co.; Boston",1856,bookcloth,XRF,American Antiquarian Society,1
2023-12-04,47055483,The Triumph of Principle and the Little Lace Maker,Brother James,Baltimore: John Murphy Co,1857,bookcloth,XRF,University of Florida,1
2022-11-16,2511893,The Violet: a Christmas and a New…,,Leavitt & Allen; NY,1856-1860,decorative green onlay,XRF,American Antiquarian Society,1
2020-02-06,,The Wanderers by Sea and Land,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860.",New York: D. Appleton & Co.,1854,decorative green onlay,XRF,The Library Company,1
2023-12-04,14126240,The Wonders of Home,Grandfather Grey,London: Bentley and Flay,1850,bookcloth,XRF,University of Florida,1
2020-02-06,,The Works of Robert Burns,,New York: Leavitt & Allen,1856,"bookcloth, decorative green onlay",XRF,The Library Company,1
2023-12-04,799060918,The Young Inquirer,,Edinburgh : Gall & Inglis ; London : Houlston and Stoneman,1838-1856,bookcloth,XRF,University of Florida,1
2023-12-04,421015637,Tired of Home,,London: Religious Tract Society,[1877?],decorative green onlay,XRF,University of Florida,1
2024-05-04,6011980,"Trees, plants, and flowers: their beauties, uses, and influences","Lee, Mrs R",London: Grant and Griffith,1854,Bookcloth,XRF,"Hartley Library, University of Southampton",1
2023-12-04,52454314,True Heroism,"Millar, George",Edinburgh: William and Robert Chambers,1849,paper cover,XRF,University of Florida,1
2023-12-04,5878173,Truth and Trust,,Edinburgh: William and Robert Chambers,1848,paper cover,XRF,University of Florida,1
2024-05-04,84668593,Views in the Isle of Wight,,[England?]: [publisher not identified],185-,Bookcloth,XRF,"Hartley Library, University of Southampton",1
2023-02-28,29643769,Vollständiger beweis…,,Breslau,1841,paper covering,XRF,Northwestern University,1
2023-02-28,11150346,Vorlesungen über die geschichte der philosophie,"Hegel, Georg Wilhelm Friedrich",Berlin: Duncker und Humblot,1840,paper covering,XRF,Northwestern University,1
2023-12-04,47830405,Wonders of the Sea Shore,,London: Society for Promoting Christian Knowledge (Great Britain),1847,bookcloth,XRF,University of Florida,1
2023-12-04,46885167,Woodcutter of Lebanon,,London: James Nisbet & Co.,1856,bookcloth,XRF,University of Florida,1
2023-12-04,1056429321,Collectanea topographica et genealogica.,"Nichols, John Gough (Editor)","London: John Bower Nichols and son, printers to the society of antiquaries",1834-1843,label,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,987457722,Geschichte Der Römische Literatur Im Karolingischen Zeitalter.,"Bähr, Johann Christian Felix",Carlsruhe: Verlag Der Chr. Fr. Müller’schen Hofbuchhandlung,1840,paper cover,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,1008278436,Proverbs : with pictures,"Bennett, Charles Henry",London: Chapman and Hall,1859,paper cover,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,,The court album: Fourteen Portraits of the female aristocracy.,"Hayter, John",London: David Bogue,1853,bookcloth,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,436691317,The inheritance,"Ferrier, Susan",London: Thomas Hodgson,c. 1855,paper cover,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,1060782216,The life of Alexander the Great.,Religious Tract Society,London: The Religious Tract Society,c. 1846,paper cover,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,1262987773,The uncommercial traveller / by Charles Dickens ; with a frontispiece.,"Dickens, Charles",London: Chapman and Hall,1866,paper cover,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,156761505,A chronicle of the conquest of Granada : from the mss. of Fray Antonio Agapida : to which is added legends of the conquest of Spain ,"Irving, Washington",London: Henry G. Bohn,1850,paper cover,"VIS-NIR spectroscopy, Raman",University of St Andrews,1
2023-12-04,29205890,"Hand-book of American literature, historical, biographical, and critical","Gostwick, Joseph","London: Edinburgh : W. & R. Chambers, [1870?]",c. 1870,bookcloth,"VIS-NIR spectroscopy, Raman",University of St Andrews,1
2023-12-04,976024372,"Lectures, in connection with the educational exhibition of the Society of Arts, Manufactures, and Commerce, Delivered at St. Martin’s Hall.","Society for the Encouragement of Arts, Manufactures, and Commerce (Great Britain)",London: G. Routledge & Co.,1854,paper cover,"VIS-NIR spectroscopy, Raman",University of St Andrews,1
2023-12-04,8088779,Studies from nature,"Masius, Hermann",London: Chapman and Hall,1855,bookcloth,"VIS-NIR spectroscopy, Raman",University of St Andrews,1
2023-12-04,934278551,The poetical works of Henry Wadsworth Longfellow,"Longfellow, Henry Wadsworth",Edinburgh: Gall & Inglis,c. 1881,bookcloth,"VIS-NIR spectroscopy, Raman",University of St Andrews,1
2023-12-04,826456578,"The water witch; or, The skimmer of the seas : a tale","Cooper, James Fenimore",London: Routledge and Co.,1850,paper cover,"VIS-NIR spectroscopy, Raman",University of St Andrews,1
2023-12-04,561186576,Flowers in their season: A floral record of the months.,"Jerrard, Paul (litho.)",London: Paul Jerrard; 111 Fleet St.,[1854],bookcloth,VIS-NIR spectroscopy,National Library of Scotland,1
2023-12-04,79416954,"Poetry of the year. Passages from the poets descriptive of the seasons. With … illustrations, etc.",,"London: George Bell;186 Fleet St., Printed by G. Barclay; Castle St., Leicester Sq.",1853,bookcloth,VIS-NIR spectroscopy,National Library of Scotland,1
2023-12-04,57297065,"Rouman anthology; or, Selections of Rouman poetry, ancient and modern …","Stanley, Henry Edward John",Hertford: Printed and published by Stephen Austin,1856,bookcloth,VIS-NIR spectroscopy,National Library of Scotland,1
2023-12-04,8917631,"Sakoontalá or the lost ring / translated into English prose and verse … by Monier Williams, M.A.","Kālidāsa; William, Monier (trans.)",Hertford: Printed and published by Stephen Austin,1855,bookcloth,VIS-NIR spectroscopy,National Library of Scotland,1
2023-12-04,794272782,"The child’s picture and verse book, commonly called Otto Speckter’s fable book; with the original German, and with French / translated into English by Mary Howitt.","Hey, Wilhelm; Howitt, Mary (trans.)","London: Logman, Brown, Green, and Logmans // Printed by Manning and Mason; Ivy-Lane, Paternoster-Row // Bound by Westleys & Clark",1844,paper cover,VIS-NIR spectroscopy,National Library of Scotland,1
2023-12-04,27212618,The May Queen.,"Tennyson, Alfred Tennyson; Hartly, W.H. (illust.)","London: Day & Son, Lithographers to the Queen; 6 Gate St., Lincoln’s Inn Fields // Bound by Leighton Son and Hodge",1861,bookcloth,VIS-NIR spectroscopy,National Library of Scotland,1
2023-12-04,976541423,"The task, a poem / illustrated by Birket Foster.","Cowper, William; Foster, Birket (illust.)",London: James Nisbet and Co.; Berners Street // Bound by Edmonds & Remmants,1855,bookcloth,VIS-NIR spectroscopy,National Library of Scotland,1
2023-12-04,315725034,"John O’ Arnha’ : a tale : to which is added The murderit mystrell, and other poems.","Beattie, George.",Aberdeen: Lewis Smith,1878,paper cover,Raman,University of St Andrews,1
2024-05-04,,A. Lewald’s Europa : Chronik der gebildeten Welt ,"Lewald, August",Karlsruhe : Gutsch u. Rupp,1840,"textblock edges, label",MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,834794058,"Code général pour les États Prussiens, traduit par les Membres du bureau de Législation étrangère, et publiée par ordre du Ministre de la Justice ",,Paris : l’an X,1801/1802,textblock edges,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,250195208,Das Gediegenste aus seinen sämmtlichen Werken ,"Abraham, a Sancta Clara",Blaubeuren : Mangold,1840–43,paper cover,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,162708722,Die öffentlichen Bade- und Waschanstalten : ihr Nutzen und Ertrag ,"Behrend, Friedrich Jacob ",Berlin : Möser & Kühn,1854,paper cover,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,11360359,Le Ministere De L’Homme-Esprit ,"Saint-Martin, Louis Claude de ",Paris: Migneret,1802,textblock edges,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,,Lilien : Taschenbuch historisch-romantischer Erzählungen für 1841,"Wachsmann, C. von",Leipzig : Focke,1841,paper cover,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,23162651,Meine Lebensschicksale als Vorsteher meiner Erziehungsinstitute in Burgdorf und Iferten ,"Pestalozzi, Johann Heinrich ",Leipzig: Fleischer,1826,"textblock edges, label",MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,833504853,"Populäre Botanik oder faßliche Anleitung zur Kenntniß der Gewächse, besonders der in Deutschland und in der Schweiz","Hochstetter, Christian Ferdinand",Stuttgart : Löfl,1831,textblock edges,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,,Selections from the Prem Ságar and Bágh o Bahár : for the Examination of Military Offices by the Higher Standard,"Misra, Caturbhuja",Calcutta : College Pr. ,1867,label,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,249250891,"The lady of the lake : with all his introductions, various readings, and the editor’s notes ","Scott, Walter ","Edinburgh : Black , 1853 ",1853,bookcloth,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,247914829,The Life and Adventures Of Nicholas Nickleby ,"Dickens, Charles ",London : Chapman And Hall,1850,bookcloth,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,247829275,The shipwreck : a poem ,"Falconer, William",Edinburgh : Black,1858,paper cover,MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2024-05-04,1153743040,Torquato Tasso : Ett Skådespel i Fem Akter / Af Goethe. Öfversatt Af Oscar Fredrik,"Goethe, Johann Wolfgang von",Stockholm : Fritze,1861,"Paper cover, endpapers",MQuant Test Kit,Staatsbibliothek zu Berlin – SPK,1
2022-02-07,2858043,A winter wreath of summer flowers,"Goodrich, Samuel G.",New York: D. Appleton and Co.,1855,decorative green onlay,"bookmark, XRF, Raman","George A. Smathers Libraries, University of Florida; American Antiquarian Society; Winterthur Library; University of Washington",4
2020-02-06,,My Own Garden,"Loudon, Mrs. (Jane)",London: Kerby & Son,1855,bookcloth,"bookmark, XRF, Raman","Winterthur; George A. Smathers Libraries, University of Florida",2
2020-02-06,4799738,"Rustic Adornments for Homes of Taste, 2nd edition","Hibberd, Shirley",London: Groombridge & Sons,1857,bookcloth,"bookmark, XRF, Raman",Winterthur; Boston Athenaeum; University of Delaware Library; British Library,4
2023-02-09,,The Modern pocket Hoyle : containing all the games of skill and chance as played in this country at the present time… 11th ed.,"Dick, W.B.",New York: Dick & Fitzgerald,1886,paper cover,"bookmark, XRF, Raman",Winterthur Library,1
2021-08-09,ocn1237656402,"Angel Whispers; or, The Echo of Spirit Voices Designed to Comfort those who Mourn","Eddy, Daniel C.",Boston: Dayton & Wentworth,1854,bookcloth,"bookmark, XRF","private owner, American Antiquarian Society",2
2022-07-06,,"Anleitung zum Anbau der Sandflächen im Binnen-Lande und auf den Strand-Dünen für Landwirthe, Waldbesitzer und Forstbeamte","Pannewitz, Julius von",Marienwerder [i.e. Kwidzyn (Poland)]: A. Baumann,1832,textblock edges,"bookmark, XRF",University of Delaware Library,1
2022-03-24,,Aphorisms of the Wise & Good,"Stanesby, Samuel",,1862,bookcloth,"bookmark, XRF",British Library,1
2021-11-15,18371729,Canine Pathology,"Blaine, D.P.; Boosey, Thomas",London: T. & T.Boosey,1832,bookcloth,"bookmark, XRF",William & Mary Libraries,1
,,,,,,,,,
,,,,,,,,,
2022-07-06,,Flowers: Their Use and Beauty in Language and Sentiment,,London: Darton and Co.,1857,bookcloth,"bookmark, XRF",University of Delaware Library,1
2022-04-12,,Friendship’s offering,,Philadelphia: E.H. Butler & Co.,1854,bookcloth,"bookmark, XRF",Boston Athenaeum,1
2022-04-12,,"Geographical surveying, its uses, methods and results","Carpenter, Frank De Yeau",New York: D. Van Nostrand,1878,paper cover,"bookmark, XRF",Boston Athenaeum,1
2022-04-12,,Grundlegung des Heils: für christliche Katecheten und Prediger,"Ackermann, C. F. W.",Nürnberg: J.P. Raw,1836,paper label,"bookmark, XRF",Boston Athenaeum,1
2022-05-08,5536535,Italy: a poem,"Rogers, Samuel",London: E. Moxon,1852,bookcloth,"bookmark, XRF",University of Oregon Libraries,1
2022-04-12,,Kobboltozo: a sequel to the Last of the Huggermuggers,"Cranch, Christopher Pearse","Boston: Phillips, Sampson and Co.",1857,bookcloth,"bookmark, XRF",Boston Athenaeum,1
2022-03-24,,"Lallah Rookh, an Oriental Romance","Moore, Thomas","London: Longman, Brown, Green, and Longmans",1854,bookcloth,"bookmark, XRF",British Library,1
2022-08-24,4180233,"Leaflets of Memory, vol. 11",,New York: Leavitt & Allen,1856,bookcloth,"Bookmark, XRF",Middlebury College Special Collections,1
2022-04-12,,Lese-und Gebetbuch,"Passy, A.",Regensburg: Georg Joseph Manz,1859,textblock edges,"bookmark, XRF",Boston Athenaeum,1
2022-03-24,,Musings on Guard,"Felix, Frank",,1858,bookcloth,"bookmark, XRF",British Library,1
2021-11-15,15344101,"Oasis; or Golden Leaves of Friendship, The","Percival, M.J.",Boston: Wentworth and Co.,1856,bookcloth,"bookmark, XRF","William & Mary Libraries; Middlebury College Special Collections, American Antiquarian Society",3
2022-04-04,1615988,"Oasis; or Golden Leaves of Friendship, The","Ferguson, N.J., Ed. ",Boston: Dayton and Wentworth,1854,bookcloth,"bookmark, XRF",Middlebury College Special Collections,1
2022-07-06,,"Oeuvres de Lavoisier, Tome 4",Publiées par les soins de son excellence le ministre de l’instruction publique et des cultes,Paris: Imprimerie Imperiale,1868,paper over boards,"bookmark, XRF",University of Delaware Library,1
2022-07-06,,"Oeuvres de Lavoisier, Tome 5",Publiées par les soins de son excellence le ministre de l’instruction publique et des cultes,Paris: Imprimerie Imperiale,1892,paper over boards,"bookmark, XRF",University of Delaware Library,1
2021-11-15,12540092,"Our folks at home, or, Life at the old manor house","Toliver, Edward","Philadelphia, New York: C.G. Henderson & Co, D. Appleton & Co.",1855,bookcloth,"bookmark, XRF","William & Mary Libraries; George A. Smathers Libraries, University of Florida",2
2022-11-16,985494522,Peter Parley’s Annual for 1875,"George, Ben",London: Ben George,1875,decorative green onlay,"bookmark, XRF",Knoll Bindings Collection,1
2022-07-06,,Plants of the Holy Land with Their Fruits and Flowers,"Osborn, Henry S.",Philadelphia: J.B. Lippincott & Co.,1861,bookcloth,"bookmark, XRF",University of Delaware Library,1
2022-08-24,3213483,Poems: Gleanings from Spare Hours of a Business Life,James Lawson,"New York: John F. Trow, Printer",1857,bookcloth,"Bookmark, XRF",Middlebury College Special Collections,1
2022-04-12,,Poets and statesmen; their homes and haunts in the neighbourhood of Eton and Windsor,"Dowling, William",London: E. P. Williams,1857,bookcloth,"bookmark, XRF",Boston Athenaeum,1
2021-11-15,22457189,Souvenirs d’un Voyage (Vol. 1),"Huc, Evariste Régis, 1813-1860.",Librairie d’Adrien le Clere et Cie,1853,leather,"bookmark, XRF",William & Mary Libraries,1
2021-11-15,1427349,Souvenirs d’un Voyage (Vol. 1),"Huc, Evariste Régis, 1813-1860.","Paris, Librairie de Gaume Frères …",1857,paper,"bookmark, XRF",William & Mary Libraries,1
2021-11-15,22457189,Souvenirs d’un Voyage (Vol. 2),"Huc, Evariste Régis, 1813-1860.",Librairie d’Adrien le Clere et Cie,1853,leather,"bookmark, XRF",William & Mary Libraries,1
2021-11-15,1427349,Souvenirs d’un Voyage (Vol. 2),"Huc, Evariste Régis, 1813-1860.","Paris, Librairie de Gaume Frères …",1857,paper,"bookmark, XRF",William & Mary Libraries,1
2021-11-15,5154306,"Step from the New World to the Old, A (Vol. 2)","Tappan, Henry Philip",D. Appleton & Co.,1852,bookcloth,"bookmark, XRF",William & Mary Libraries,1
2022-04-05,1345822,Ten Nights in a Bar-Room: And What I Saw There,"Arthur, T.S.",Philadelphia: L.P. Crown & Co,1855,bookcloth,"Bookmark, XRF",Middlebury College Special Collections,1
2021-11-15,15320195,"The book of beauty, or Token of friendship",,New York: Leavitt & Allen,1858,bookcloth,"bookmark, XRF",William & Mary Libraries,1
2022-03-24,,The Book of the Royal Horticultural Society,"Murray, Andrew",,1863,bookcloth,"bookmark, XRF",British Library,1
2022-03-24,,The Christian Graces in Olden Time,"Stebbing, Henry",,1852,bookcloth,"bookmark, XRF",British Library,1
2022-03-24,,The Court Album: Fourteen Portraits of the Female Aristocracy,,London: David Bogue,1850-1857,bookcloth,"bookmark, XRF",British Library,1
2022-04-12,,The Court Album: twelve portraits of the female aristocracy,"Hayter, John","London: David Bogue, 86, Fleet Street.",1852,"bookcloth, endpapers","bookmark, XRF",Boston Athenaeum,1
2020-02-06,,The Crystal Sphere: its forces and its beings,"Sanders, J. Milton",London: Hippolyte Bailliere,1857,bookcloth,"bookmark, XRF",The Library Company; Boston Athenaeum,2
2022-04-12,,"The Curse of the Village; The happiness of being rich; and, Blind Rosa","Conscience, Hendrik",Baltimore: Murphy & Co.,1856,bookcloth,"bookmark, XRF",Boston Athenaeum,1
2022-03-24,,The Deserted Village,"Goldsmith, Oliver",London: Sampson Low & Son,1859,bookcloth,"bookmark, XRF",British Library,1
2023-09-25,,The Dumb Girl,"Von Schmid, Christopher","New York, NY: Edward Dunigan and Brother, James B. Kirker",1849,bookcloth,"bookmark, XRF",Private owner,1
2021-11-15,48393610,The Faithful Hound: a true tale for children,"Thomas, Emily, Lady",London: Griffith and Farran,1863,bookcloth,"bookmark, XRF","William & Mary Libraries; George A. Smathers Libraries, University of Florida",2
2022-03-24,,The Farmer’s Boy,"Bloomfield, Robert","London: Sampson Low, Son & Co.",1857,bookcloth,"bookmark, XRF",British Library,1
2020-02-06,,The Liberty Bell,,Boston: National Anti-Slavery Bazaar,1856,bookcloth,"bookmark, XRF","The Library Company, Boston Athenaeum",2
2022-03-24,,The May Queen,"Tennyson, Alfred",London: Day & Son,1861,bookcloth,"bookmark, XRF",British Library,1
2022-05-08,268803190,The Philoepena; A gift for all seasons,,New York: Leavitt & Allen,185?,bookcloth,"bookmark, XRF",University of Oregon Libraries,1
2022-12-01,,The Poetical Works of Augustine Duganne,"Duganne, Augustine",Philadelphia: Parry & MacMillan,1855,bookcloth,"bookmark, XRF",Indiana University Libraries,1
2022-02-07,5854855,The Wanderers by Sea and Land,"Goodrich, Samuel G.",New York: D. Appleton and Co.,1855,decorative green onlay,"bookmark, XRF","George A. Smathers Libraries, University of Florida; American Antiquarian Society",2
2021-11-15,5339885,The White Veil: A Bridal Gift,"Hale, Sarah Josepha Buell",Philadelphia: E.H. Butler & Co.,1854,bookcloth,"bookmark, XRF",William & Mary Libraries,1
2022-04-05,63073611,Uncle Tom’s Cabin or The History of a Christian Slave,"Stowe, Harriet Beecher",London: Partridge and Oakey,1853,bookcloth,"Bookmark, XRF",Middlebury College Special Collections,1
2022-05-28,1555098,The boy’s own toy-maker: a practical illustrated guide to the useful employment of leisure hours,"Landells, Ebenezer, 1808-1860",New York: D. Appleton & Company,1860,bookcloth,"bookmark, ICP","Mahn Center for Archives & Special Collections, Ohio University Libraries",1
2021-08-09,,"A Golden Legacy to Daughters, or Advice to Young Ladies",,"Boston: Higgins, Bradley and Dayton",1857,bookcloth,bookmark,private owner,1
2022-11-16,,Album of Friendship,,New York: Leavitt & Allen,n.d.,decorative green onlay,bookmark,Burt Thompson,1
2022-08-04,,Ballads of Ireland,"Hayes, Edward","London, Edinburgh, and Dublin: A. Fullarton & Co. ",1856,bookcloth,bookmark,,
